'sex';'first_name';'last_name';'phone_number';'delivery1';'delivery2';'items_name';'items_number'
male;Amble;Siu;98765432;Lok Ma Chau Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Tuen Mun Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Siu Hong Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Tin Shui Wai Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Long Ping Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Yuen Long Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Kam Sheung Road Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Tsuen Wan West Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Austin Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;East Tsim Sha Tsui Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;To Kwa Wan Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Sung Wong Toi Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Kai Tak Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Hin Keng Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Che Kung Temple Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Sha Tin Wai Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;City One Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Shek Mun Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Tai Shui Hang Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Heng On Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Ma On Shan Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Wu Kai Sha Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;Airport Station,HK;;'["Apple","Orange"]';'["1","2"]'
male;Amble;Siu;98765432;AsiaWorld-Expo Station,HK;;'["Apple","Orange"]';'["1","2"]'
